subject,bce,psr2,norm_ll
0,0.41431970294679177,0.3994317223167576,0.659494129430746
1,0.45224852816780037,0.3750398913192385,0.6484377067403965
2,0.3514796775306229,0.4619131206458903,0.6886835492959446
3,0.1667240712995238,0.7300657772154837,0.8293573580841919
4,0.2641047660643427,0.5870687530398511,0.7510957568187306
5,0.592931494296658,0.179881931397819,0.56639558754865
6,0.20640568226891612,0.673440466482743,0.7974359030195439
7,0.6383416105814887,0.1174715611888209,0.5424159702430653
8,0.2746284571802625,0.5795741943452697,0.7472040574887987
9,0.5549386403685714,0.387650672791097,0.6541306285193988
10,0.4226525528536738,0.3923138172663781,0.6562483599343748
11,0.22489788934213234,0.6753349894503486,0.7984837703634714
12,0.520771530197886,0.2511980321219563,0.5950975288517416
13,0.1839655666875205,0.7134322898276624,0.8198502311491845
14,0.2340144282423554,0.6938226190528367,0.8087819016210978
15,0.11058996267201962,0.8166164212865981,0.8806352027892624
16,0.19799337475468026,0.6995540300106797,0.8120013493922735
17,0.6504401063236331,0.0593722231526128,0.5210061195720198
18,0.6422635507133768,0.0659945743655222,0.5234031725881749
19,0.4342056035851118,0.3417717816596336,0.6336560157409894
20,0.517969602060141,0.2322999782776758,0.5873531007108311
21,0.420645727003637,0.3823447739639701,0.6517293057562915
22,0.06770785175376103,0.8586077881058645,0.9066438147229244
23,0.3300278632905025,0.542606597306013,0.7283009324243047
24,0.4339296992679043,0.416391065627761,0.6672924406434472
25,0.1348633010059499,0.768943875397684,0.8520109489805946
26,0.4707567887136247,0.2948064721768564,0.6133602049676279
27,0.3228256290378445,0.526354787991093,0.720142735197569
28,0.27534907894303595,0.6113483373538157,0.7638431559249359
29,0.5953176232098915,0.1516434143131372,0.5554170669439487
30,0.2114813470815297,0.6788177623952939,0.8004136980274826
31,0.3088075390800791,0.5423840391344106,0.7281885893320051
32,0.6630771940367417,0.0478871980919253,0.5168749529574354
33,0.37535458122233156,0.4095317881566281,0.6641273363703069
34,0.3832676180454353,0.519454676138434,0.7167066650660315
35,0.569396888475477,0.1547304172303791,0.5566067915524622
36,0.06940612391424919,0.8837042553887018,0.9225533548645304
37,0.2370181569315138,0.6544969871160362,0.7870335200742049
38,0.5975036552816544,0.1336249672435616,0.5485233600177266
39,0.11072686509221304,0.8098990191016441,0.8765443657746153
40,0.46293821545681146,0.3254306295018659,0.6265192008860263
41,0.1421754019637153,0.7628408459333211,0.8484143018592181
42,0.40524637863108603,0.4046519987970564,0.6618847787065765
43,0.6371538177090947,0.1010944253039597,0.5362934080034553
44,0.4360590661287295,0.3840451489637611,0.652497893366238
45,0.3079963229661789,0.5530781133065141,0.7336063914061595
46,0.35564870484676464,0.4994619741355615,0.7068431282342912
47,0.25264690640773113,0.5958453126167559,0.7556789350697043
48,0.38288948350762947,0.4515958433794551,0.6837760720740048
49,0.13002684258987604,0.8016062654100828,0.8715203552098482
50,0.5637068082430062,0.1875725723648583,0.56942296052906
51,0.6723607969362158,0.0213925779123839,0.5074693441557767
52,0.5221101523386952,0.2193833419333926,0.5821179225920721
53,0.19722078184222416,0.6621463310133429,0.7912175494645395
54,0.1402794966479655,0.7773752666055287,0.8570048455851716
55,0.10583766245519667,0.8182311789328566,0.8816214185092134
56,0.29087329119544036,0.5386329676713757,0.7262977257462678
57,0.40339592140903346,0.3923020352636369,0.6562430005977274
58,0.1487884597750758,0.7615540567911312,0.8476579094480242
59,0.2720881436050226,0.5829249162314625,0.7489414882102317
60,0.4754187123707391,0.2977693919195517,0.614621181442726
61,0.5523973150678346,0.2066447615267436,0.5770006149345215
62,0.3729092256799099,0.4534000779347952,0.6846317374308362
63,0.15590525959544538,0.7293946490555588,0.8289716385674336
64,0.1930623836167554,0.6980433233611946,0.8111515136578389
65,0.430555134264465,0.3633255407576408,0.6431938605302975
66,0.3975866282459031,0.4043971842486578,0.6617678843023105
67,0.15931927588067005,0.7357885550124907,0.8326537261279916
68,0.33678519986180894,0.492696362878587,0.7035361022030828
69,0.11648806568373214,0.7783842558688929,0.8576044256162793
70,0.3621429477854486,0.4515321397656361,0.6837458799378164
71,0.1989526452500932,0.6918317960993658,0.8076666062223284
72,0.27935508437725376,0.5856824189868794,0.7503743503814856
73,0.4711406153877003,0.343021720891479,0.6342052480423747
74,0.206085059066787,0.6832325788103648,0.8028668095231756
75,0.30951134025334187,0.5453202646006313,0.7296721344279528
76,0.4850641384771863,0.3050746429504647,0.6177412787751186
77,0.4790554438760161,0.2975029566313695,0.6145076843787708
78,0.18844279283968768,0.6798964764297931,0.8010123972240278
79,0.4223345977070054,0.3786104811082444,0.6500445415040788
80,0.2780695959003675,0.5719645811919873,0.7432732443011854
81,0.1560512243769532,0.747687361720912,0.839549539199565
82,0.12656216316480834,0.7759733455003555,0.8561724661933999
83,0.11823472403905586,0.7992990808021725,0.8701277175921681
84,0.1977355961812835,0.6619714872281519,0.7911216656603921
85,0.5453989996937422,0.2330963410165424,0.5876774071176547
86,0.23629133743614633,0.6326605559589656,0.7752107896653414
87,0.07679631823695701,0.8819254267804543,0.9214165567460773
88,0.27837768748998454,0.57639311179006,0.7455583186821158
89,0.24085838306708282,0.6711639875443418,0.7961785932689821
90,0.125222105022894,0.8235842937954875,0.8848987481741653
91,0.0648732568326042,0.8927947529659344,0.9283847649500636
92,0.23206042620750378,0.611090948629491,0.7637068921456794
93,0.22176354083865968,0.6665245344557926,0.7936223356177667
94,0.36635359393715294,0.4639258426983251,0.689645010921605
95,0.3025558896087272,0.5665354741111421,0.7404814368467536
96,0.11947925472357665,0.8046952784314759,0.8733884020459179
97,0.08467374708648802,0.8285325846902538,0.8879390679835681
98,0.14251949191686025,0.7617025115890513,0.8477451388033508
99,0.12737730255180088,0.7901500395347041,0.8646271474062859
100,0.4944226302583237,0.2947866435433205,0.6133517749038884
