bce,psr2,norm_ll
0.376122683,0.457369685,0.686518133
0.394430637,0.430956781,0.674063683
0.350608677,0.494178593,0.704259276
0.182111308,0.737268925,0.833508551
0.255242288,0.63176322,0.774728775
0.548286319,0.208989978,0.577939332
0.214983538,0.68984431,0.806554675
0.609663069,0.120442092,0.543533921
0.247332647,0.64317441,0.780880868
0.43220827,0.376455307,0.649074137
0.408291757,0.410959423,0.664784908
0.209153622,0.698255062,0.811270595
0.466904849,0.326398671,0.626939714
0.178527355,0.742439508,0.836501181
0.204236373,0.705349207,0.815269649
0.12472298,0.820062757,0.882741392
0.196979895,0.715818048,0.821207166
0.603210449,0.129751265,0.547052503
0.60194701,0.131574035,0.547744155
0.43263793,0.375835419,0.648795366
0.464666605,0.329627693,0.628344536
0.384446621,0.44536078,0.68082732
0.114436388,0.834903181,0.891868651
0.256786257,0.629535735,0.773533523
0.355879724,0.486574113,0.700556874
0.147770405,0.786812365,0.862629116
0.405071706,0.415605068,0.666929007
0.311268449,0.550934553,0.732517242
0.283794492,0.590571046,0.752921343
0.635117233,0.083719552,0.529873371
0.202883422,0.70730114,0.816373348
0.273260236,0.6057688,0.760894775
0.651821136,0.059620857,0.521095932
0.300374448,0.566651225,0.740540862
0.32816723,0.526554763,0.72024256
0.533188581,0.230771482,0.586731136
0.061812792,0.910822988,0.940058887
0.236592814,0.658668756,0.789312661
0.564344406,0.185823143,0.568732858
0.11223042,0.838085771,0.893838346
0.457027465,0.34064877,0.633162916
0.133984849,0.806700766,0.874603331
0.392431617,0.433840811,0.675412536
0.614492416,0.113474786,0.54091537
0.355380595,0.487294197,0.700906634
0.315092266,0.545418024,0.729721606
0.311747462,0.550243497,0.732166409
0.229404747,0.669038892,0.795006692
0.37108478,0.464637876,0.689985454
0.121785641,0.824300468,0.885338128
0.539513409,0.221646607,0.583031893
0.678311646,0.021403134,0.507473052
0.46813035,0.324630618,0.626171887
0.196814239,0.716057062,0.821343243
0.142574742,0.794308126,0.867122769
0.111701466,0.838848829,0.894311249
0.254207581,0.633255959,0.775530815
0.406447828,0.413619757,0.66601187
0.151380479,0.781604171,0.859520674
0.24735564,0.64314127,0.780862868
0.433231413,0.374979258,0.648410439
0.548770905,0.208290935,0.577659428
0.345339924,0.501779854,0.707979679
0.157040417,0.773438573,0.854669511
0.169301122,0.75575012,0.844254613
0.422348678,0.390679657,0.655505419
0.393041551,0.432960868,0.675000727
0.113670647,0.836007893,0.892551839
0.335745454,0.515621662,0.714805067
0.087329447,0.874010205,0.91637516
0.329552352,0.524556458,0.719245672
0.161091134,0.767594635,0.851214468
0.230151996,0.667960882,0.794412911
0.527818799,0.238518357,0.589890182
0.176640734,0.745161295,0.838080883
0.259732664,0.62528497,0.771257758
0.530762613,0.234271407,0.588156283
0.455173016,0.343324125,0.6343382
0.135377914,0.804690957,0.873385847
0.37888211,0.453388691,0.684626341
0.256432801,0.630045652,0.773806989
0.160040602,0.769110203,0.852109194
0.120867625,0.825624883,0.886151254
0.091180436,0.868454456,0.912853062
0.178575724,0.742369652,0.83646071
0.514570177,0.257632077,0.597757399
0.241283774,0.651901126,0.785618663
0.079878405,0.884759843,0.923228562
0.288351178,0.58399719,0.749498308
0.23472026,0.661370277,0.790792108
0.128394246,0.814766288,0.879506588
0.079041027,0.88596791,0.924001992
0.198627844,0.713440597,0.819854915
0.236054108,0.659445941,0.78973794
0.351633757,0.492699683,0.703537762
0.302038819,0.564250112,0.739309371
0.1169459,0.831282735,0.889633358
0.281647414,0.593668699,0.754539728
0.129411608,0.813298523,0.87861222
0.142106414,0.794983804,0.867528975
0.422296286,0.390755236,0.655539811
